id,titulo,rubro,Con pantalla táctil,Conexión del monitor de la computadora,Resolución de pantalla,Tamaño de la pantalla,Tipo de pantalla,Tipo de resolución,Con micrófono,Con visión nocturna,Formato de venta,Funciones,Lugares de montaje,Color,Tipo de corrector,Tipo de envase,Con compartimiento para notebook,Con puerto USB,Con ruedas,Tipo de mochila,Capacidad,Incluye adaptador SD,Incluye adaptador USB,Resolución máxima de video,Velocidad de lectura,Forma del glitter,Peso neto,Tipo,Usos recomendados,Graduación,Unidad por envase,Tamaño de papel,Tipo de papel,Con bluetooth,Con WiFi,Funciones de la impresora,Tipo de impresión,Tipo de impresora,Resolución de imagen de la cámara,Capacidad de hojas,Potencia,Tipo de trituradora,Voltaje,Color de la tinta,Con grip,Grosor del trazo,Tipo de lapicera,Tipo de trazo,Con goma de borrar,Tipo de Lápiz,Forma de la lentejuela,Duración máxima de la batería,Es inalámbrico,Es resistente al agua,Formato del auricular,Tipo de conectores,A prueba de agua,Autonomía máxima de la batería,Con función Karaoke,Con luces LED,Con Radio,Es portátil,Incluye batería recargable,Potencia de salida (RMS),Tipo de parlante,Díametro,Con anillos,Con tapa separadas,Diseño,Tamaño de las hojas,Tipo de carpeta,Con lengueta,Tamaño del separador,Billetes por minutos,Capacidad de bandeja,Con detector de billetes falsos,Tipo detección,Con cartel,Con pie,Tamaño,Tipo de agenda por vista,Tipo de encuadernación,Formato de la tiza,Capacidad de almacenamiento,Material,Tipo de Marcador,Con compartimiento para marcadores,Es magnético,Material del mango,Superficies Recomendadas,Con GPS,Incluye cargador,Sistema operativo,Ancho x altura,Material de la superficie,Material del armazón
283,Artículo 283 de Maquina destructora,Maquina destructora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Valor 22,Valor 48,Valor 60,Valor 81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284,Artículo 284 de Borradores,Borradores,,,,,,,,,Valor 49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,Valor 8,No,,,,,,
285,Artículo 285 de Contadora de billetes,Contadora de billetes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sí,,,,,,,,,,,,Sí,Valor 89,Sí,Valor 53,,,,,,,,,,,,,,,,,,,
286,Artículo 286 de Lapices de grafito,Lapices de grafito,,,,,,,,,Valor 80,,,,,,,,,,,,,,,,,,,Valor 85,Valor 6,,,,,,,,,,,,,,,,,,No,Valor 38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287,Artículo 287 de Gibre,Gibre,,,,,,,,,Valor 20,,,,,,,,,,,,,,,Valor 45,Valor 79,Valor 91,Valor 51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288,Artículo 288 de Pizarras,Pizarras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Valor 52,Valor 54,Valor 67
289,Artículo 289 de Lapices de grafito,Lapices de grafito,,,,,,,,,Valor 40,,,,,,,,,,,,,,,,,,,Valor 18,Valor 19,,,,,,,,,,,,,,,,,,Sí,Valor 40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,Artículo 290 de Palitos para maqueteria,Palitos para maqueteria,,,,,,,,,Valor 91,,,,,,,,,,,,,,,,,,,,Valor 69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
291,Artículo 291 de Gibre,Gibre,,,,,,,,,Valor 99,,,,,,,,,,,,,,,Valor 98,Valor 75,Valor 12,Valor 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292,Artículo 292 de Minas,Minas,,,,,,,,,Valor 75,,,,,,,,,,,,,,,,,,,Valor 95,Valor 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293,Artículo 293 de Agendas,Agendas,,,,,,,,,Valor 51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Valor 41,Valor 92,Valor 100,,,,,,,,,,,,,,
294,Artículo 294 de Parlantes,Parlantes,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,Sí,Sí,,,,,,,,,,,,,,,,,,Sí,,,,Valor 62,Valor 84,Sí,No,Sí,Sí,Valor 78,Valor 100,Valor 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295,Artículo 295 de Palitos para souvenir,Palitos para souvenir,,,,,,,,,Valor 28,,,,,,,,,,,,,,,,,,,,Valor 78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296,Artículo 296 de Papel glace,Papel glace,,,,,,,,,Valor 98,,,,,,,,,,,,,,,,,,Valor 43,,,Valor 23,Valor 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297,Artículo 297 de Boligrafos borrables,Boligrafos borrables,,,,,,,,,Valor 49,,,,,,,,,,,,,,,,,,,,Valor 49,,,,,,,,,,,,,Valor 86,No,Valor 16,Valor 71,Valor 87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298,Artículo 298 de Maquina destructora,Maquina destructora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Valor 64,Valor 3,Valor 23,Valor 68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
299,Artículo 299 de Smartwatch,Smartwatch,,,,,Valor 100,,,,,Valor 47,,,,,,,,,,,,,,,,,,,,,,Sí,No,,,,,,,,,,,,,,,,,Valor 30,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sí,Valor 98,Valor 78,,,
300,Artículo 300 de Correctores,Correctores,,,,,,,,,Valor 43,,,,Valor 16,Valor 32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301,Artículo 301 de Mochilas,Mochilas,,,,,,,,,,,,,,,Sí,No,Sí,Valor 37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,Artículo 302 de Aros para carpetas,Aros para carpetas,,,,,,,,,Valor 75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Valor 37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303,Artículo 303 de Smartwatch,Smartwatch,,,,,Valor 33,,,,,Valor 40,,,,,,,,,,,,,,,,,,,,,,No,Sí,,,,,,,,,,,,,,,,,Valor 36,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Valor 78,Valor 13,,,
304,Artículo 304 de Auriculares,Auriculares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,Valor 53,No,No,Valor 84,Valor 61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,Artículo 305 de Contadora de billetes,Contadora de billetes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,No,Valor 40,Sí,Valor 1,,,,,,,,,,,,,,,,,,,
306,Artículo 306 de Palitos para maqueteria,Palitos para maqueteria,,,,,,,,,Valor 32,,,,,,,,,,,,,,,,,,,,Valor 69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307,Artículo 307 de Mochilas,Mochilas,,,,,,,,,,,,,,,Sí,No,No,Valor 75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308,Artículo 308 de Camara de seguridad,Camara de seguridad,,,,,,Valor 75,No,No,Valor 20,Valor 74,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,Artículo 309 de Aros para carpetas,Aros para carpetas,,,,,,,,,Valor 45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Valor 45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310,Artículo 310 de Aros para carpetas,Aros para carpetas,,,,,,,,,Valor 17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Valor 33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,Artículo 311 de Contadora de billetes,Contadora de billetes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,No,Valor 99,No,Valor 90,,,,,,,,,,,,,,,,,,,
312,Artículo 312 de Pinturas                                          ,Pinturas                                          ,,,,,,,,,,,,Valor 82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313,Artículo 313 de Impresoras,Impresoras,,,,,,,,,,,,,,,,Sí,,,,,,,,,,,,,,Valor 65,Valor 41,Sí,Sí,Sí,Valor 99,Valor 67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314,Artículo 314 de Aros para carpetas,Aros para carpetas,,,,,,,,,Valor 83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Valor 40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315,Artículo 315 de Separadores,Separadores,,,,,,,,,Valor 32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sí,Valor 59,,,,,,,,,,,,,,,,,,,,,,,
316,Artículo 316 de Maquina expendedora de numeros,Maquina expendedora de numeros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Sí,,,,,,,,,,,,,,,,,
317,Artículo 317 de Contadora de billetes,Contadora de billetes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,No,Valor 37,No,Valor 36,,,,,,,,,,,,,,,,,,,
318,Artículo 318 de Camara de seguridad,Camara de seguridad,,,,,,Valor 57,No,No,Valor 98,Valor 41,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319,Artículo 319 de Brillantinas,Brillantinas,,,,,,,,,Valor 84,,,,,,,,,,,,,,,,,,Valor 33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320,Artículo 320 de Lapiceras fuente escolar,Lapiceras fuente escolar,,,,,,,,,Valor 27,,,,,,,,,,,,,,,,,,,,Valor 60,,,,,,,,,,,,,Valor 67,Sí,Valor 78,Valor 27,Valor 70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321,Artículo 321 de Lapiceras fuente escolar,Lapiceras fuente escolar,,,,,,,,,Valor 32,,,,,,,,,,,,,,,,,,,,Valor 86,,,,,,,,,,,,,Valor 1,Sí,Valor 4,Valor 19,Valor 32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
322,Artículo 322 de Maquina destructora,Maquina destructora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Valor 16,Valor 40,Valor 23,Valor 40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,Artículo 323 de Pizarras,Pizarras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Valor 59,Valor 48,Valor 77
324,Artículo 324 de Monitores,Monitores,No,Valor 94,Valor 63,Valor 74,Valor 92,Valor 45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325,Artículo 325 de Lentejuelas,Lentejuelas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Valor 90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
326,Artículo 326 de Boligrafos borrables,Boligrafos borrables,,,,,,,,,Valor 3,,,,,,,,,,,,,,,,,,,,Valor 1,,,,,,,,,,,,,Valor 63,Sí,Valor 67,Valor 73,Valor 65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,Artículo 327 de Smartwatch,Smartwatch,,,,,Valor 25,,,,,Valor 51,,,,,,,,,,,,,,,,,,,,,,Sí,Sí,,,,,,,,,,,,,,,,,Valor 30,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Valor 75,Valor 65,,,
328,Artículo 328 de Minas,Minas,,,,,,,,,Valor 3,,,,,,,,,,,,,,,,,,,Valor 23,Valor 14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
329,Artículo 329 de Brillantinas,Brillantinas,,,,,,,,,Valor 71,,,,,,,,,,,,,,,,,,Valor 29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330,Artículo 330 de Maquina expendedora de numeros,Maquina expendedora de numeros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,,,,,,,
331,Artículo 331 de Maquina expendedora de numeros,Maquina expendedora de numeros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,,,,,,,
332,Artículo 332 de Contadora de billetes,Contadora de billetes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,Sí,Valor 54,Sí,Valor 47,,,,,,,,,,,,,,,,,,,
333,Artículo 333 de Pinturas                                          ,Pinturas                                          ,,,,,,,,,,,,Valor 45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334,Artículo 334 de Gibre,Gibre,,,,,,,,,Valor 72,,,,,,,,,,,,,,,Valor 63,Valor 76,Valor 91,Valor 49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
335,Artículo 335 de Separadores,Separadores,,,,,,,,,Valor 68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sí,Valor 23,,,,,,,,,,,,,,,,,,,,,,,
336,Artículo 336 de Mochilas,Mochilas,,,,,,,,,,,,,,,Sí,Sí,Sí,Valor 63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
337,Artículo 337 de Borradores,Borradores,,,,,,,,,Valor 69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sí,Sí,Valor 52,Sí,,,,,,
338,Artículo 338 de Contadora de billetes,Contadora de billetes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sí,,,,,,,,,,,,No,Valor 19,No,Valor 82,,,,,,,,,,,,,,,,,,,
339,Artículo 339 de Tarjetas de memoria,Tarjetas de memoria,,,,,,,,,,,,,,,,,,,Valor 73,Valor 13,Valor 8,Valor 39,Valor 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340,Artículo 340 de Parlantes,Parlantes,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,,,,,,,,Sí,,,,Valor 46,Valor 69,No,No,No,No,Valor 100,Valor 33,Valor 27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341,Artículo 341 de Papel glace,Papel glace,,,,,,,,,Valor 84,,,,,,,,,,,,,,,,,,Valor 32,,,Valor 54,Valor 77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342,Artículo 342 de Auriculares,Auriculares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sí,,,,,,,,,,,,,,,,,,Valor 2,No,Sí,Valor 44,Valor 71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
343,Artículo 343 de Smartwatch,Smartwatch,,,,,Valor 62,,,,,Valor 84,,,,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,,,,,,,Valor 53,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Valor 54,Valor 29,,,
344,Artículo 344 de Lentejuelas,Lentejuelas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Valor 53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
345,Artículo 345 de Microfibras,Microfibras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Valor 59,,,,,,,,,,
346,Artículo 346 de Brillantinas,Brillantinas,,,,,,,,,Valor 51,,,,,,,,,,,,,,,,,,Valor 41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
347,Artículo 347 de Maquina destructora,Maquina destructora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Valor 66,Valor 37,Valor 39,Valor 63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
348,Artículo 348 de Impresoras,Impresoras,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,Valor 27,Valor 68,Sí,Sí,Sí,Valor 96,Valor 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349,Artículo 349 de Smartwatch,Smartwatch,,,,,Valor 75,,,,,Valor 67,,,,,,,,,,,,,,,,,,,,,,No,Sí,,,,,,,,,,,,,,,,,Valor 89,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sí,Valor 95,Valor 95,,,
350,Artículo 350 de Parlantes,Parlantes,,,,,,,Sí,,,,,,,,,,,,,,,,,,,,,,,,,Sí,No,,,,,,,,,,,,,,,,,,No,,,,Valor 5,Valor 42,No,Sí,Sí,No,Valor 94,Valor 92,Valor 25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351,Artículo 351 de Carpetas con anillos,Carpetas con anillos,,,,,,,,,Valor 36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sí,Sí,Valor 89,Valor 17,Valor 23,,,,,,,,,,,,,,,,,,,,,,,,,
352,Artículo 352 de Lapices de grafito,Lapices de grafito,,,,,,,,,Valor 41,,,,,,,,,,,,,,,,,,,Valor 93,Valor 15,,,,,,,,,,,,,,,,,,Sí,Valor 68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
353,Artículo 353 de Minas,Minas,,,,,,,,,Valor 21,,,,,,,,,,,,,,,,,,,Valor 15,Valor 78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354,Artículo 354 de Correctores,Correctores,,,,,,,,,Valor 86,,,,Valor 61,Valor 25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355,Artículo 355 de Separadores,Separadores,,,,,,,,,Valor 63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Valor 30,,,,,,,,,,,,,,,,,,,,,,,
356,Artículo 356 de Separadores,Separadores,,,,,,,,,Valor 54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sí,Valor 82,,,,,,,,,,,,,,,,,,,,,,,
357,Artículo 357 de Palitos para maqueteria,Palitos para maqueteria,,,,,,,,,Valor 48,,,,,,,,,,,,,,,,,,,,Valor 88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358,Artículo 358 de Separadores,Separadores,,,,,,,,,Valor 48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Valor 21,,,,,,,,,,,,,,,,,,,,,,,
359,Artículo 359 de Mochilas,Mochilas,,,,,,,,,,,,,,,Sí,No,No,Valor 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360,Artículo 360 de Gibre,Gibre,,,,,,,,,Valor 23,,,,,,,,,,,,,,,Valor 87,Valor 62,Valor 90,Valor 24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
361,Artículo 361 de Impresoras,Impresoras,,,,,,,,,,,,,,,,Sí,,,,,,,,,,,,,,Valor 43,Valor 92,No,Sí,No,Valor 59,Valor 62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
362,Artículo 362 de Papel glace,Papel glace,,,,,,,,,Valor 44,,,,,,,,,,,,,,,,,,Valor 51,,,Valor 22,Valor 39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
363,Artículo 363 de Auriculares,Auriculares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,Valor 26,Sí,Sí,Valor 40,Valor 53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
364,Artículo 364 de Mochilas,Mochilas,,,,,,,,,,,,,,,No,Sí,No,Valor 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
365,Artículo 365 de Carpetas con anillos,Carpetas con anillos,,,,,,,,,Valor 73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,Valor 3,Valor 71,Valor 35,,,,,,,,,,,,,,,,,,,,,,,,,
366,Artículo 366 de Impresoras,Impresoras,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,Valor 91,Valor 28,No,No,No,Valor 6,Valor 35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
367,Artículo 367 de Contadora de billetes,Contadora de billetes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sí,,,,,,,,,,,,No,Valor 89,No,Valor 45,,,,,,,,,,,,,,,,,,,
368,Artículo 368 de Palitos para souvenir,Palitos para souvenir,,,,,,,,,Valor 70,,,,,,,,,,,,,,,,,,,,Valor 43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
369,Artículo 369 de Goma eva,Goma eva,,,,,,,,,Valor 53,,,,,,,,,,,,,,,,,Valor 10,Valor 54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
370,Artículo 370 de Goma eva,Goma eva,,,,,,,,,Valor 11,,,,,,,,,,,,,,,,,Valor 19,Valor 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371,Artículo 371 de Brillantinas,Brillantinas,,,,,,,,,Valor 81,,,,,,,,,,,,,,,,,,Valor 34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
372,Artículo 372 de Palitos para souvenir,Palitos para souvenir,,,,,,,,,Valor 15,,,,,,,,,,,,,,,,,,,,Valor 93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
373,Artículo 373 de Boligrafos borrables,Boligrafos borrables,,,,,,,,,Valor 32,,,,,,,,,,,,,,,,,,,,Valor 46,,,,,,,,,,,,,Valor 50,No,Valor 83,Valor 14,Valor 51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
374,Artículo 374 de Aros para carpetas,Aros para carpetas,,,,,,,,,Valor 82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Valor 11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
375,Artículo 375 de Brillantinas,Brillantinas,,,,,,,,,Valor 41,,,,,,,,,,,,,,,,,,Valor 99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
376,Artículo 376 de Boligrafos borrables,Boligrafos borrables,,,,,,,,,Valor 67,,,,,,,,,,,,,,,,,,,,Valor 58,,,,,,,,,,,,,Valor 41,Sí,Valor 15,Valor 77,Valor 45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
377,Artículo 377 de Parlantes,Parlantes,,,,,,,Sí,,,,,,,,,,,,,,,,,,,,,,,,,No,Sí,,,,,,,,,,,,,,,,,,Sí,,,,Valor 14,Valor 49,Sí,No,Sí,Sí,Valor 74,Valor 26,Valor 73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
